#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-11-23T11:17:57 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ637dfd101c8380	
#INFO	-out.max=1000	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/A+A/661/A23/tableb1
#-nav=cat:J/A+A/661/A23&tab:{J/A+A/661/A23/tableb1}&key:source=J/A+A/661/A23&HTTPPRM:&&-ref=VIZ637dfd101c8380&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Host&-out=Pl-letter&-out=Pl-asem&-out=Mass&-out=f_Mass&-out=Rad&-out=f_Rad&-out=Dist&-out=ftrans&-out=FX&-out=binary&-out=Xray-prov&-out=LX&-out=LXUV&-out=FplX&-out=FplXUV&-out=dM/dt&-out=SimbadName&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/661/A23/tableb1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A23/tableb1
#-out=Host
#-out=Pl-letter
#-out=Pl-asem
#-out=Mass
#-out=f_Mass
#-out=Rad
#-out=f_Rad
#-out=Dist
#-out=ftrans
#-out=FX
#-out=binary
#-out=Xray-prov
#-out=LX
#-out=LXUV
#-out=FplX
#-out=FplXUV
#-out=dM/dt
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36610023
#Name: J/A+A/661/A23
#Title: Exoplanet X-ray irradiation and evaporation rates (Foster+, 2022)
#Table	J_A_A_661_A23_tableb1:
#Name: J/A+A/661/A23/tableb1
#Title: Exoplanet irradiation fluxes and mass-loss rates
#Column	Host	(a27)	Host star name	[ucd=meta.id;meta.main]
#Column	Pl-letter	(A1)	Planet letter	[ucd=meta.note]
#Column	Pl-asem	(F23.18)	? Planet semi-major axis	[ucd=phys.size.smajAxis]
#Column	Mass	(F6.1)	? Planet mass	[ucd=phys.mass]
#Column	f_Mass	(F4.1)	[0/1]? Flag if mass was calculated	[ucd=meta.code]
#Column	Rad	(F4.1)	? Planet radius	[ucd=phys.angSize;src]
#Column	f_Rad	(F4.1)	[0/1]? Flag if radius was calculated	[ucd=meta.code]
#Column	Dist	(F10.6)	? Host star distance	[ucd=pos.distance]
#Column	ftrans	(I1)	[0/1]Flag if exoplanet is transiting	[ucd=meta.code]
#Column	FX	(E8.1)	Adopted stellar X-ray flux, 0.2-2 keV	[ucd=phot.flux;em.X-ray]
#Column	binary	(A1)	[0/1]Multi-stellar system flag	[ucd=meta.code]
#Column	Xray-prov	(A1)	[CERX] Adopted X-ray flux data source (1)	[ucd=meta.code]
#Column	LX	(D23.16)	? Stellar X-ray luminosity, 0.2-2keV	[ucd=phys.luminosity;em.X-ray]
#Column	LXUV	(D23.16)	? Stellar XUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	FplX	(D23.16)	? Planet Xray irradiation flux, 0.2-2keV	[ucd=phot.flux;em.X-ray]
#Column	FplXUV	(D21.14)	? Planetary XUV irradiation flux	[ucd=phot.flux;em.UV]
#Column	dM/dt	(F29.15)	? Estimated planetary mass loss rate	[ucd=phys.mass.loss]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Host	Pl-letter	Pl-asem	Mass	f_Mass	Rad	f_Rad	Dist	ftrans	FX	binary	Xray-prov	LX	LXUV	FplX	FplXUV	dM/dt	SimbadName	_RA	_DE
HD 190007                  	b	   0.091999999999999998	  16.5	 0.0	 4.3	 1.0	 12.714100	0	 4.0e-13	0	R	 7.7518076314514569e+27	 7.7601150996068600e+28	 3.2565239833324949e+02	 3.26001393955626e+03	   5750633213.619795799255371	HD 190007              	300.69602	+03.32618
HD 192263                  	b	   0.149999999999999994	 178.0	 0.0	14.3	 1.0	 19.635900	0	 2.3e-13	0	R	 1.0475324644262931e+28	 1.0103393866471902e+29	 1.6554341957110381e+02	 1.59665731299840e+03	   9704743303.237165451049805	HD 192263              	303.49936	-00.86688
HD 195019                  	b	   0.140000000000000013	1265.0	 0.0	13.2	 1.0	 37.668100	0	 1.8e-15	1	X	 3.0358242871747612e+26	 4.5831451025841526e+27	 5.5074112661398962e+00	 8.31446835673622e+01	     56196384.117069721221924	HD 195019              	307.07765	+18.76949
HD 196050                  	b	   2.509999999999999787	1010.7	 0.0	13.3	 1.0	 50.674200	0	 5.4e-14	0	E	 1.6678642937372313e+28	 1.5193220226390017e+29	 9.4132635301483403e-01	 8.57490542843418e+00	      7451674.788690069690347	HD 196050              	309.46546	-60.63448
HD 19994                   	b	   1.304999999999999938	 435.4	 0.0	13.8	 1.0	 22.524200	0	 1.1e-13	1	E	 6.9286536628961227e+27	 7.0333353978658728e+28	 1.4466210447504708e+00	 1.46847735452955e+01	     32771947.408387858420610	HD 19994               	048.19349	-01.19610
HD 203030                  	b	 487.100000000000022737	7656.1	 0.0	12.3	 1.0	 39.250300	0	 6.4e-13	0	R	 1.1760131389943434e+29	 8.4731807606583040e+29	 1.7623934241131845e-04	 1.26980537536140e-03	          114.248378645927247	HD 203030              	319.74258	+26.23054
HD 20794                   	b	   0.120700000000000002	   2.7	 0.0	 1.5	 1.0	  6.002780	0	 1.2e-13	0	E	 5.1762615702225041e+26	 7.2948581911349972e+27	 1.2633643654640579e+01	 1.78044787048839e+02	                             	HD 20794               	049.98188	-43.06978
HD 20794                   	c	   0.203600000000000003	   2.4	 0.0	 1.4	 1.0	  6.002780	0	 1.2e-13	0	E	 5.1762615702225041e+26	 7.2948581911349972e+27	 4.4400474959133129e+00	 6.25731841507372e+01	                             	HD 20794               	049.98188	-43.06978
HD 20794                   	d	   0.349899999999999989	   4.8	 0.0	 2.1	 1.0	  6.002780	0	 1.2e-13	0	E	 5.1762615702225041e+26	 7.2948581911349972e+27	 1.5033333024002427e+00	 2.11863390329964e+01	     14469612.876129847019911	HD 20794               	049.98188	-43.06978
HD 20794                   	e	   0.509000000000000008	   4.8	 0.0	 2.1	 1.0	  6.002780	0	 1.2e-13	0	E	 5.1762615702225041e+26	 7.2948581911349972e+27	 7.1040759934613018e-01	 1.00117094641179e+01	      6804757.162856836803257	HD 20794               	049.98188	-43.06978
HD 211970                  	b	   0.142999999999999988	  13.0	 0.0	 3.7	 1.0	 13.127700	0	 7.2e-14	0	E	 1.4929588683598451e+27	 1.8376796208306735e+28	 2.5959882169068287e+01	 3.19539589685226e+02	    470009131.843511760234833	HD 211970              	335.56753	-54.56061
HD 212301                  	b	   0.029999999999999999	 162.1	 0.0	14.4	 1.0	 54.230400	0	 2.2e-13	1	E	 7.7938297466913256e+28	 5.8952579642258172e+29	 3.0791819624628330e+04	 2.32909526862782e+05	1571996534131.912353515625000	HD 212301              	336.87884	-77.71792
HD 21411                   	b	   0.361999999999999988	  65.9	 0.0	 9.7	 1.0	 29.132800	0	 5.4e-14	0	E	 5.4695335762243073e+27	 5.7178958006980679e+28	 1.4840895277652752e+01	 1.55147951107870e+02	    796403308.176679611206055	HD 21411               	051.54632	-30.61781
HD 216435                  	b	   2.560000000000000053	 400.4	 0.0	13.8	 1.0	 32.983400	0	 1.1e-13	0	E	 1.4045510349369068e+28	 1.3066805517258865e+29	 7.6205188623862585e-01	 7.08951369074866e+00	     17378980.310168579220772	HD 216435              	343.40805	-48.59828
HD 216437                  	b	   2.496999999999999886	 706.5	 0.0	13.5	 1.0	 26.690200	0	 1.3e-14	0	X	 1.1064892534831486e+27	 1.4148629237675555e+28	 6.3101119533350139e-02	 8.06871229837222e-01	      1047068.176722783478908	HD 216437              	343.66451	-70.07371
GJ 143                     	c	   0.069500000000000006	   3.7	 0.0	 0.9	 0.0	 16.320000	1	 5.2e-14	0	E	 1.6663760638248781e+27	 2.0227478476323352e+28	 1.2266773842231781e+02	 1.48901505040909e+03	                             	GJ 143                 	051.74676	-63.49910
HD 221287                  	b	   1.250000000000000000	 982.0	 0.0	13.4	 1.0	 55.923100	0	 1.8e-13	0	E	 6.5885248691651386e+28	 5.0841461907961856e+29	 1.4993226866817967e+01	 1.15697760540342e+02	    103833268.120985105633736	HD 221287              	352.83474	-58.20973
HD 25015                   	b	   6.190000000000000391	1423.9	 0.0	13.2	 1.0	 37.433000	0	 1.9e-13	0	E	 3.2218015166486603e+28	 2.7090429036891282e+29	 2.9898157990698587e-01	 2.51397835402134e+00	      1488240.388994210399687	HD 25015               	059.43300	-20.26779
HD 26965                   	b	   0.218976926371585445	   8.5	 0.0	 2.9	 1.0	  5.035450	0	 3.8e-13	0	E	 1.1632165853625643e+27	 1.4779577029967883e+28	 8.6256299722311169e+00	 1.09595379064213e+02	    115906478.334236606955528	HD 26965               	063.81800	-07.65287
HD 27442                   	b	   1.270999999999999908	 495.8	 0.0	13.7	 1.0	 18.270400	0	 6.5e-14	0	E	 2.6056733376162738e+27	 2.9892074711485902e+28	 5.7352957366566293e-01	 6.57948508654747e+00	     12695499.843300186097622	HD 27442               	064.12095	-59.30215
HD 27894                   	b	   0.125000000000000000	 211.4	 0.0	14.2	 1.0	 43.821400	0	 1.3e-14	0	E	 3.0784554775410273e+27	 3.4582600548672768e+28	 7.0055106857355895e+01	 7.86981586876056e+02	   3945910738.680778980255127	HD 27894               	065.19603	-59.41084
HD 27894                   	c	   0.198000000000000009	  51.5	 0.0	 8.4	 1.0	 43.821400	0	 1.3e-14	0	E	 3.0784554775410273e+27	 3.4582600548672768e+28	 2.7920902067293788e+01	 3.13656445641730e+02	   1331423086.095563411712646	HD 27894               	065.19603	-59.41084
HD 27894                   	d	   5.448000000000000398	1721.0	 0.0	13.1	 1.0	 43.821400	0	 1.3e-14	0	E	 3.0784554775410273e+27	 3.4582600548672768e+28	 3.6879551261526186e-02	 4.14295674891619e-01	       198345.819530650536763	HD 27894               	065.19603	-59.41084
HD 285968                  	b	   0.066000000000000003	   8.4	 0.0	 2.9	 1.0	  9.470450	0	 4.9e-14	0	E	 5.2713246674222582e+26	 7.4114683833674945e+27	 4.3028761270055064e+01	 6.04983232581707e+02	    635745990.536187887191772	HD 285968              	070.73240	+18.95817
HD 30562                   	b	   2.339999999999999858	 387.8	 0.0	13.9	 1.0	 26.159700	0	 4.8e-14	0	E	 3.9665805734653328e+27	 4.3164989129527774e+28	 2.5757962979186777e-01	 2.80302434654450e+00	      7122735.017861930653453	HD 30562               	072.15160	-05.67404
HD 33564                   	b	   1.100000000000000089	2892.1	 0.0	12.8	 1.0	 20.953100	0	 1.1e-13	0	R	 5.7732369938716609e+27	 5.9949026486335701e+28	 1.6965277370221921e+00	 1.76166657196833e+01	      4715915.493415662087500	HD 33564               	080.63971	+79.23115
HD 37124                   	b	   0.533640000000000003	 214.5	 0.0	14.2	 1.0	 31.663400	0	 5.7e-14	0	E	 6.8415163499612768e+27	 6.9558032241631465e+28	 8.5424523920279238e+00	 8.68515323961249e+01	    428252777.350464284420013	HD 37124               	084.26036	+20.73079
HD 37124                   	c	   1.709999999999999964	 207.2	 0.0	14.2	 1.0	 31.663400	0	 5.7e-14	0	E	 6.8415163499612768e+27	 6.9558032241631465e+28	 8.3193059721187990e-01	 8.45827918016906e+00	     43357839.834650821983814	HD 37124               	084.26036	+20.73079
HD 37124                   	d	   2.806999999999999940	 221.2	 0.0	14.2	 1.0	 31.663400	0	 5.7e-14	0	E	 6.8415163499612768e+27	 6.9558032241631465e+28	 3.0874113247433327e-01	 3.13898623469475e+00	     14955811.787654878571630	HD 37124               	084.26036	+20.73079
HD 38529                   	b	   0.129399999999999987	 253.3	 0.0	14.1	 1.0	 42.353800	0	 2.4e-13	0	E	 5.1888455179363896e+28	 4.1199190595662466e+29	 1.1018669006631931e+03	 8.74877162840046e+03	  35814318249.530578613281250	HD 38529               	086.64547	+01.16820
HD 38529                   	c	   3.640000000000000124	4128.6	 0.0	12.6	 1.0	 42.353800	0	 2.4e-13	0	E	 5.1888455179363896e+28	 4.1199190595662466e+29	 1.3924990985983530e+00	 1.10563776796072e+01	      1986614.242040926590562	HD 38529               	086.64547	+01.16820
HD 38801                   	b	   1.622999999999999998	3082.3	 0.0	12.8	 1.0	 91.434900	0	 3.8e-14	0	E	 3.8499218764935413e+28	 3.1683706201807839e+29	 5.1968696769689995e+00	 4.27686839620071e+01	     10660676.717547053471208	HD 38801               	086.99656	-08.32770
HD 39091                   	b	   3.100000000000000089	3184.7	 0.0	12.7	 1.0	 18.270200	0	 1.3e-13	0	R	 5.3708390347070860e+27	 5.6274757274924203e+28	 1.9872188493078380e-01	 2.08217482732755e+00	       500366.553344862884842	HD 39091               	084.29120	-80.46912
HD 40307                   	b	   0.046800000000000001	   4.0	 0.0	 1.9	 1.0	 12.936300	0	 2.7e-14	0	E	 5.4647663038796903e+26	 7.6479385042243708e+27	 8.8716997889108043e+01	 1.24159407082715e+03	    736904255.965664267539978	HD 40307               	088.51767	-60.02347
HD 40307                   	c	   0.079899999999999999	   6.6	 0.0	 2.5	 1.0	 12.936300	0	 2.7e-14	0	E	 5.4647663038796903e+26	 7.6479385042243708e+27	 3.0437220094680306e+01	 4.25968787280793e+02	    371767866.701240837574005	HD 40307               	088.51767	-60.02347
HD 40307                   	d	   0.132099999999999995	   9.5	 0.0	 3.1	 1.0	 12.936300	0	 2.7e-14	0	E	 5.4647663038796903e+26	 7.6479385042243708e+27	 1.1135068887014119e+01	 1.55835249583732e+02	    180035487.261503905057907	HD 40307               	088.51767	-60.02347
HD 40307                   	f	   0.246999999999999997	   5.2	 0.0	 2.2	 1.0	 12.936300	0	 2.7e-14	0	E	 5.4647663038796903e+26	 7.6479385042243708e+27	 3.1849647995646544e+00	 4.45735710745702e+01	     32377644.156979113817215	HD 40307               	088.51767	-60.02347
HD 40307                   	g	   0.599999999999999978	   7.1	 0.0	 2.6	 1.0	 12.936300	0	 2.7e-14	0	E	 5.4647663038796903e+26	 7.6479385042243708e+27	 5.3975421515733335e-01	 7.55385832691237e+00	      6974017.058922942727804	HD 40307               	088.51767	-60.02347
HD 40979                   	b	   0.849999999999999978	1484.3	 0.0	13.1	 1.0	 34.088300	0	 8.3e-13	0	R	 1.1608915983469465e+29	 8.3769785094704417e+29	 5.7132176026809013e+01	 4.12265030996312e+02	    232961696.772320866584778	HD 40979               	091.12476	+44.26044
HD 41004 B                 	b	   0.017424378474017354	5838.3	 0.0	12.4	 1.0	 41.550400	0	 1.7e-12	0	E	 3.4315932940402808e+29	 2.1831456186086446e+30	 4.0189089554992423e+05	 2.55679001734354e+06	 311642243092.315307617187500	HD 41004 B             	089.95686	-48.23967
HD 4308                    	b	   0.119999999999999996	  15.9	 0.0	 4.2	 1.0	 22.015800	0	 2.3e-15	0	X	 1.3397918099024159e+26	 2.2493922903449054e+27	 3.3082763132739021e+00	 5.55430416756391e+01	     95361235.165989249944687	HD 4308                	011.16361	-65.64952
HD 46375                   	b	   0.039800000000000002	  71.8	 0.0	10.2	 1.0	 29.552900	0	 1.9e-12	0	C	 1.9366164294227394e+29	 1.3162309339816818e+30	 4.3471479053270392e+04	 2.95456057309742e+05	1620145286658.353027343750000	HD 46375               	098.30259	+05.46292
HD 49674                   	b	   0.059999999999999998	  31.8	 0.0	 6.3	 1.0	 43.039900	0	 1.1e-14	0	X	 2.5268977343222738e+27	 2.9100712608635992e+28	 2.4958134118263487e+02	 2.87427337623608e+03	   8415179367.763771057128906	HD 49674               	102.87715	+40.86776
HD 50554                   	b	   2.353000000000000203	1574.5	 0.0	13.1	 1.0	 31.166400	0	 4.8e-15	0	X	 5.6187850793550141e+26	 7.8354571595965196e+27	 3.6084900743964567e-02	 5.03207881943196e-01	       266170.533180036989506	HD 50554               	103.67844	+24.24556
HD 51608                   	b	   0.105899999999999994	  12.8	 0.0	 3.7	 1.0	 35.055300	0	 1.6e-14	0	E	 2.4249788380164478e+27	 2.8072292661941335e+28	 7.6885241301052162e+01	 8.90046940348795e+02	   1291294032.383336067199707	HD 51608               	103.71392	-55.25933
HD 51608                   	c	   0.380900000000000016	  14.3	 0.0	 3.9	 1.0	 35.055300	0	 1.6e-14	0	E	 2.4249788380164478e+27	 2.8072292661941335e+28	 5.9430988881293114e+00	 6.87991205081570e+01	    108960891.012878909707069	HD 51608               	103.71392	-55.25933
HD 52265                   	b	   0.520000000000000018	 384.6	 0.0	13.9	 1.0	 29.980300	0	 7.7e-15	0	X	 8.2320338545281322e+26	 1.0931245749844827e+28	 1.0824987647818844e+00	 1.43744064113941e+01	     36864914.681769698858261	HD 52265               	105.07515	-05.36716
HD 62509                   	b	   1.639999999999999902	      	    	    	    	          	0	 3.5e-13	0	R	                       	                       	                       	                     	                             	HD 62509               	116.32896	+28.02620
HD 63433                   	b	   0.071900000000000006	   5.1	 1.0	 2.2	 0.0	 22.403500	1	 1.1e-12	0	E	 6.3164457670384434e+28	 4.8987557714431910e+29	 4.3445213900970639e+03	 3.36941850192994e+04	  24193069213.746456146240234	HD 63433               	117.47942	+27.36318
HD 63433                   	c	   0.145800000000000013	   7.4	 1.0	 2.7	 0.0	 22.403500	1	 1.1e-12	0	E	 6.3164457670384434e+28	 4.8987557714431910e+29	 1.0565369073641134e+03	 8.19403263097975e+03	   7805606953.616713523864746	HD 63433               	117.47942	+27.36318
HD 63454                   	b	   0.040000000000000001	  79.5	 0.0	10.8	 1.0	 37.689400	0	 1.0e-13	0	E	 1.7484233034094670e+28	 1.5835457658203548e+29	 3.8855593994116521e+03	 3.51914843664196e+04	 208634774840.515655517578125	HD 63454               	114.84105	-78.27897
HD 63765                   	b	   0.939999999999999947	 168.4	 0.0	14.3	 1.0	 32.537600	0	 5.9e-14	0	E	 7.5305042964409724e+27	 7.5656883236015646e+28	 3.0303675189981827e+00	 3.04452600412718e+01	    196822000.719939142465591	HD 63765               	116.95717	-54.26414
HD 65216                   	b	   1.300999999999999934	 411.6	 0.0	13.8	 1.0	 35.120500	0	 1.1e-14	1	E	 1.6149328761424307e+27	 1.9681111434647293e+28	 3.3925544879817837e-01	 4.13449028826344e+00	      9827040.904231153428555	HD 65216               	118.42216	-63.64732
HD 65216                   	c	   5.750000000000000000	 645.2	 0.0	13.6	 1.0	 35.120500	0	 1.1e-14	1	E	 1.6149328761424307e+27	 1.9681111434647293e+28	 1.7367837032627457e-02	 2.11661017660642e-01	       304080.272424706956372	HD 65216               	118.42216	-63.64732
HD 69830                   	b	   0.078500000000000000	  10.2	 0.0	 3.2	 1.0	 12.559100	0	 2.1e-13	0	R	 3.9121690544849343e+27	 4.2646574571994875e+28	 2.2573829936155309e+02	 2.46077433858370e+03	   3002888197.458793640136719	HD 69830               	124.59978	-12.63217
HD 69830                   	c	   0.185999999999999999	  11.8	 0.0	 3.5	 1.0	 12.559100	0	 2.1e-13	0	R	 3.9121690544849343e+27	 4.2646574571994875e+28	 4.0208574264097884e+01	 4.38313870619071e+02	    598383488.640354633331299	HD 69830               	124.59978	-12.63217
HD 69830                   	d	   0.630000000000000004	  18.1	 0.0	 4.5	 1.0	 12.559100	0	 2.1e-13	0	R	 3.9121690544849343e+27	 4.2646574571994875e+28	 3.5048018020678522e+00	 3.82058621011272e+01	     72508304.175867781043053	HD 69830               	124.59978	-12.63217
HD 70573                   	b	   1.760000000000000009	1900.0	 0.0	13.0	 1.0	 59.182000	0	 6.1e-13	0	E	 2.5461673397459348e+29	 1.6764721131445748e+30	 2.9227290510155989e+01	 1.92441151522825e+02	     82469833.280626341700554	HD 70573               	125.70814	+01.85932
HD 70642                   	b	   3.318000000000000060	 633.4	 0.0	13.6	 1.0	 29.276000	0	 3.3e-15	0	X	 3.3782015824322091e+26	 5.0300627039815425e+27	 1.0910879176482693e-02	 1.62460424797269e-01	       238255.172662658354966	HD 70642               	125.36724	-39.70541
HD 81040                   	b	   1.939999999999999947	2310.6	 0.0	12.9	 1.0	 34.434100	0	 1.6e-13	0	E	 2.2693255855523813e+28	 1.9909957738244991e+29	 2.1439778719551432e+00	 1.88102179317601e+01	      6474678.603411906398833	HD 81040               	140.94620	+20.36445
HD 8326                    	b	   0.533000000000000029	  66.6	 0.0	 9.8	 1.0	 30.686200	0	 1.0e-13	0	E	 1.1782889046409169e+28	 1.1201038605170433e+29	 1.4747700831817347e+01	 1.40194451211464e+02	    725523063.826295495033264	HD 8326                	020.53172	-26.89310
HD 85512                   	b	   0.260000000000000009	   3.2	 0.0	 1.6	 1.0	 11.281000	0	 8.2e-14	0	E	 1.2499936588120279e+27	 1.5737371027259808e+28	 6.5748835126809402e+00	 8.27775249663351e+01	     41157382.036523275077343	HD 85512               	147.77938	-43.50278
HD 86264                   	b	   2.859999999999999876	2224.8	 0.0	12.9	 1.0	 67.810700	0	 4.0e-13	0	E	 2.2185573843212996e+29	 1.4842396103666361e+30	 9.6441853661998564e+00	 6.45206747023635e+01	     23170319.568014368414879	HD 86264               	149.24099	-15.89512
HD 8673                    	b	   3.020000000000000018	4513.0	 0.0	12.6	 1.0	 37.861900	0	 3.3e-13	0	R	 5.7385836510236462e+28	 4.5018562532371149e+29	 2.2372668090830770e+00	 1.75511139805967e+01	      2854333.507499715778977	HD 8673                	021.53661	+34.57970
HD 87883                   	b	   3.580000000000000071	 489.5	 0.0	13.7	 1.0	 18.291200	0	 6.2e-14	0	E	 2.4866306828689483e+27	 2.8695021600462492e+28	 6.8987782232455427e-02	 7.96099684189669e-01	      1558429.543275003321469	HD 87883               	152.17975	+34.24226
HD 93083                   	b	   0.476999999999999980	 117.6	 0.0	13.7	 1.0	 28.515900	0	 1.0e-14	0	X	 9.8692987242767087e+26	 1.2805176064759684e+28	 1.5423270846436909e+00	 2.00113203785484e+01	    160437611.224962621927261	HD 93083               	161.08715	-33.57702
HD 9446                    	b	   0.189000000000000001	 222.5	 0.0	14.2	 1.0	 50.350300	0	 2.4e-13	0	R	 7.1301024559492527e+28	 5.4505629296170928e+29	 7.0973972035882753e+02	 5.42556160078292e+03	  25686060389.777824401855469	HD 9446                	023.33410	+29.26515
HD 9446                    	c	   0.654000000000000026	 578.4	 0.0	13.6	 1.0	 50.350300	0	 2.4e-13	0	R	 7.1301024559492527e+28	 5.4505629296170928e+29	 5.9274407669897016e+01	 4.53119560506426e+02	    735692740.021914243698120	HD 9446                	023.33410	+29.26515
HD 97658                   	b	   0.084386851622821765	   8.9	 0.0	 2.4	 0.0	 21.561800	1	 1.3e-14	0	X	 7.2852726676696199e+26	 9.8265006672779858e+27	 3.6376691039442683e+01	 4.90655044880825e+02	    266721334.989913076162338	HD 97658               	168.63817	+25.71039
HIP 12961                  	b	   0.250000000000000000	 114.4	 0.0	13.4	 1.0	 23.371000	0	 9.8e-14	0	E	 6.4143721751418325e+27	 6.5739659397113212e+28	 3.6492287401160141e+01	 3.74002393199267e+02	   2936044353.450115203857422	HIP 12961              	041.67870	-23.08661
HIP 38594                  	b	   0.256000000000000005	   8.1	 0.0	 2.8	 1.0	 17.788600	0	 2.9e-13	0	E	 1.0952193873098276e+28	 1.0505522630739783e+29	 5.9422119893426114e+01	 5.69986646091322e+02	    582429531.025748372077942	HIP 38594              	118.54534	-25.30317
HIP 38594                  	c	   3.805000000000000160	  48.4	 0.0	 8.1	 1.0	 17.788600	0	 2.9e-13	0	E	 1.0952193873098276e+28	 1.0505522630739783e+29	 2.6897923227343329e-01	 2.58009257742274e+00	     10442667.722455142065883	HIP 38594              	118.54534	-25.30317
HIP 48714                  	b	   0.112000000000000002	  22.9	 0.0	 5.2	 1.0	 10.529800	0	 3.0e-13	0	R	 4.0446068243039842e+27	 4.3906873829041598e+28	 1.1464819294190062e+02	 1.24458172596143e+03	   2831013777.355524063110352	HIP 48714              	149.03613	+62.78846
HIP 54373                  	b	   0.063000000000000000	   8.6	 0.0	 2.9	 1.0	 18.716800	0	 8.5e-14	0	E	 3.5822166556338816e+27	 3.9483334883284906e+28	 3.2092067636162142e+02	 3.53720049730326e+03	   3791800797.534613132476807	HIP 54373              	166.86543	-19.29149
HIP 54373                  	c	   0.099000000000000005	  12.4	 0.0	 3.6	 1.0	 18.716800	0	 8.5e-14	0	E	 3.5822166556338816e+27	 3.9483334883284906e+28	 1.2995961274148303e+02	 1.43242003609801e+03	   2036701210.343500137329102	HIP 54373              	166.86543	-19.29149
HIP 65 A                   	b	   0.017819999999999999	1021.2	 0.0	22.8	 0.0	 61.785600	1	 5.0e-14	1	E	 2.2644135801376708e+28	 1.9872100249051083e+29	 2.5355215162451157e+04	 2.22512964046902e+05	 950225434809.989990234375000	HIP 65                 	000.18712	-54.83051
HIP 67522                  	b	   0.076227547057947112	  70.2	 1.0	10.1	 0.0	127.280000	1	 1.8e-12	0	E	 3.4145785105219275e+30	 1.6827584632214825e+31	 2.0894893515063042e+05	 1.02973350275111e+06	5546754611805.809570312500000	HIP 67522              	207.52617	-40.83580
HIP 70849                  	b	  20.250000000000000000	2860.0	 0.0	12.8	 1.0	 24.057200	0	 3.0e-14	0	E	 2.1057912480975791e+27	 2.4815426405161563e+28	 1.8259639970444387e-03	 2.15178381181263e-02	         5832.703251541005557	HIP 70849              	217.32735	-46.46382
HN Peg                     	b	 773.000000000000000000	6991.6	 0.0	11.8	 0.0	 18.118600	0	 4.2e-12	0	R	 1.6582270859202646e+29	 1.1475905658259468e+30	 9.8676097592496979e-05	 6.82896568456578e-04	           59.059250299938604	HN Peg                 	326.13054	+14.77194
HR 2562                    	b	  20.300000000000000711	9534.9	 0.0	12.4	 0.0	 34.007100	0	 4.9e-13	0	E	 6.8390652391626561e+28	 5.2540735308807523e+29	 5.9010815941996267e-02	 4.53347285387907e-01	        33899.176821230612404	HR 2562                	102.50423	-60.24914
HR 810                     	b	   0.920000000000000040	 721.5	 0.0	13.5	 1.0	 17.318100	0	 1.2e-12	0	E	 4.4720540637027381e+28	 3.6146560392587517e+29	 1.8787039108297186e+01	 1.51851215135736e+02	    192491802.719547897577286	HR 810                 	040.63944	-50.80029
HR 8799                    	b	  68.000000000000000000	2000.0	 0.0	13.0	 0.0	 41.244100	0	 1.4e-13	0	R	 2.8590314361594732e+28	 2.4390094570802884e+29	 2.1985080194696326e-03	 1.87552392154047e-02	         7626.518944001931231	HR 8799                	346.86965	+21.13425
HR 8799                    	c	  38.000000000000000000	3000.0	 0.0	13.0	 0.0	 41.244100	0	 1.4e-13	0	R	 2.8590314361594732e+28	 2.4390094570802884e+29	 7.0400977022351662e-03	 6.00583283462820e-02	        16281.174329208184645	HR 8799                	346.86965	+21.13425
HR 8799                    	d	  24.000000000000000000	3000.0	 0.0	13.0	 0.0	 41.244100	0	 1.4e-13	0	R	 2.8590314361594732e+28	 2.4390094570802884e+29	 1.7649133822964555e-02	 1.50562892590332e-01	        40815.999533639980655	HR 8799                	346.86965	+21.13425
HR 8799                    	e	  16.399999999999998579	3178.3	 0.0	13.1	 0.0	 41.244100	0	 1.4e-13	0	R	 2.8590314361594732e+28	 2.4390094570802884e+29	 3.7797074219317307e-02	 3.22442839574774e-01	        84716.190507139559486	HR 8799                	346.86965	+21.13425
K2-100                     	b	   0.029600000000000001	  12.2	 1.0	 3.6	 0.0	188.959000	1	 3.7e-14	0	X	 1.5691418855883717e+29	 1.0929663549288059e+30	 6.3680394049357754e+04	 4.43557901320433e+05	 621829420544.966430664062500	K2-100                 	129.60125	+20.10606
